# Wlen(nm) Transmission Continuum
1.921981260911685240e+03 7.081942556355960150e-01 6.103022349976735539e-01
1.921987751299916681e+03 7.103259585445855784e-01 6.104141026640108603e-01
1.921994469294254486e+03 7.120836504261154332e-01 6.105295793619245348e-01
1.922000973245733576e+03 7.134594365335656940e-01 6.106410728827623702e-01
1.922007613598143507e+03 7.144597596635802184e-01 6.107545964553211526e-01
1.922014194755053268e+03 7.150594360165543062e-01 6.108668010997200248e-01
1.922020757288584946e+03 7.151760299565638190e-01 6.109783842914062735e-01
1.922027415827787763e+03 7.147691889256468922e-01 6.110912899984256574e-01
1.922033905596540762e+03 7.140032511661472681e-01 6.112010338964594114e-01
1.922040631232630631e+03 7.133319548626092521e-01 6.113144541669508492e-01
1.922047126050328643e+03 7.132969095479176902e-01 6.114236806444234285e-01
1.922053773439309225e+03 7.142288828683059920e-01 6.115351667536145230e-01
1.922060346067311912e+03 7.161603734661539100e-01 6.116450947504935565e-01
1.922066915032129145e+03 7.188183536676300278e-01 6.117546595043885649e-01
1.922073565647401665e+03 7.215806026517704863e-01 6.118652788965581735e-01
1.922080056010971020e+03 7.236783407590234862e-01 6.119729351033139642e-01
1.922086784790508318e+03 7.246672440205426113e-01 6.120842357639970643e-01
1.922093273756895314e+03 7.246739644681082781e-01 6.121912709049833756e-01
1.922099926113360880e+03 7.242976338279361048e-01 6.123006969519605436e-01
1.922106492280478733e+03 7.242589257067100217e-01 6.124084035409738114e-01
1.922113065607139333e+03 7.250408519402056218e-01 6.125159276518536977e-01
1.922119710366860318e+03 7.267893205006650259e-01 6.126243155694793829e-01
1.922126204486527968e+03 7.293181090320194349e-01 6.127299506109669114e-01
1.922132928015951620e+03 7.321347188412223872e-01 6.128390096702502898e-01
1.922139416361765143e+03 7.346347358661796667e-01 6.129439575132081819e-01
1.922146071615398796e+03 7.363703762865767555e-01 6.130513029089982302e-01
1.922152633390885740e+03 7.371142468646355583e-01 6.131568413001987627e-01
1.922159209008714924e+03 7.367664812663323737e-01 6.132623045645952953e-01
1.922165849982496184e+03 7.352260515315434120e-01 6.133685138265121406e-01
1.922172345787229915e+03 7.322771965088261670e-01 6.134721078824399987e-01
1.922179066136507572e+03 7.275285122343371214e-01 6.135789777702344017e-01
1.922185553861269455e+03 7.203512246788728035e-01 6.136818542497403106e-01
1.922192209940521479e+03 7.097544485600015829e-01 6.137871003869198594e-01
1.922198769394862893e+03 6.942722997100424509e-01 6.138905217890425758e-01
1.922205345231953970e+03 6.719914254133134701e-01 6.139939059769388141e-01
1.922211984490637406e+03 6.411309045147339791e-01 6.140979874087530987e-01
